,match_id,result,goals,team_id,team_name,team_rating,date,won_corners,att_sv_low_centre,won_contest,total_tackle,aerial_lost,possession_percentage,accurate_pass,total_pass,total_throws,shot_off_target,total_offside,blocked_scoring_att,ontarget_scoring_att,aerial_won,att_miss_left,total_scoring_att,fk_foul_lost,att_miss_right,att_goal_low_left,att_goal_low_right,att_sv_low_left,att_pen_goal,att_sv_high_centre,att_goal_low_centre,att_miss_high,att_post_left,post_scoring_att,att_miss_high_right,att_sv_high_right,att_sv_low_right,att_sv_high_left,att_miss_high_left,att_goal_high_right,att_goal_high_left,att_post_right,att_goal_high_centre,penalty_save,att_post_high
10,1190381,3,2.0,15,Chelsea,7.01142857142857,10/03/2018,12.0,3.0,19,17,15,62.3,518,593,22,9.0,2.0,7.0,11.0,18,2.0,27.0,8,2.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
11,1190381,0,1.0,162,Crystal Palace,6.74857142857143,10/03/2018,3.0,0.0,12,19,18,37.7,288,361,15,5.0,2.0,2.0,2.0,15,0.0,9.0,9,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1190395,3,1.0,23,Newcastle United,7.19428571428571,11/02/2018,0.0,0.0,9,20,19,35.9,251,361,18,5.0,2.0,2.0,3.0,24,2.0,10.0,12,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1190395,0,0.0,32,Manchester United,6.575,11/02/2018,10.0,3.0,18,12,24,64.1,503,630,33,3.0,2.0,6.0,4.0,19,1.0,13.0,15,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1190183,3,1.0,175,West Bromwich Albion,7.02857142857143,12/08/2017,8.0,1.0,1,19,18,28.7,157,242,30,9.0,2.0,1.0,6.0,12,3.0,16.0,15,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1190183,0,0.0,183,Bournemouth,6.50357142857143,12/08/2017,2.0,0.0,5,16,12,71.3,527,612,14,2.0,0.0,5.0,2.0,18,0.0,9.0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1190197,3,2.0,32,Manchester United,7.265,26/08/2017,9.0,0.0,17,9,24,69.1,576,662,19,7.0,2.0,8.0,7.0,22,3.0,22.0,8,1.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17,1190197,0,0.0,14,Leicester,6.68142857142857,26/08/2017,3.0,1.0,10,22,22,30.9,208,300,14,5.0,3.0,2.0,4.0,24,2.0,11.0,7,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18,1190550,0,1.0,162,Crystal Palace,6.51538461538462,31/03/2018,4.0,0.0,15,25,17,32.2,195,312,22,3.0,1.0,0.0,3.0,17,0.0,6.0,6,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1190550,3,2.0,26,Liverpool,6.855,31/03/2018,6.0,1.0,10,16,17,67.8,550,660,29,4.0,1.0,6.0,6.0,17,1.0,16.0,8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
