,match_id,result,goals,team_id,team_name,team_rating,date,att_goal_low_left,won_contest,possession_percentage,total_throws,att_miss_high_left,blocked_scoring_att,total_scoring_att,att_sv_low_left,total_tackle,att_miss_high_right,aerial_won,att_miss_right,att_sv_low_centre,aerial_lost,accurate_pass,total_pass,won_corners,shot_off_target,ontarget_scoring_att,att_miss_left,fk_foul_lost,att_sv_low_right,att_goal_low_centre,total_offside,att_sv_high_left,att_goal_high_left,att_miss_high,att_goal_low_right,att_goal_high_right,att_sv_high_centre,att_post_high,post_scoring_att,att_sv_high_right,penalty_save,att_pen_goal,att_post_right,att_post_left,att_goal_high_centre
362,829694,0,0,30,Tottenham,7.10307692307692,28/12/2014,0,7,48.4,32,1,2,9,2,26,0,21,1,1,19,249,374,3,3,4,0,11,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
363,829694,0,0,32,Manchester United,6.935,28/12/2014,0,4,51.6,26,0,2,9,0,27,0,19,0,2,21,281,397,6,2,5,0,19,1,0,6,0,0,2,0,0,1,0,0,1,0,0,0,0,0
364,829695,0,0,259,Swansea,6.07571428571428,17/01/2015,0,7,45.4,12,0,5,11,0,21,2,13,1,0,11,430,496,1,6,0,2,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
365,829695,0,5,15,Chelsea,7.78928571428571,17/01/2015,3,18,54.6,14,0,2,21,0,12,0,11,2,3,13,512,596,2,8,11,1,13,1,1,3,0,0,3,0,1,1,1,2,1,0,0,1,0,0
366,829696,0,3,171,Queens Park Rangers,7.10285714285714,20/12/2014,0,4,43.4,21,0,8,17,0,9,0,30,0,2,23,222,337,5,2,7,1,16,0,2,4,0,0,1,1,0,1,0,0,1,0,1,0,0,0
367,829696,0,2,175,West Bromwich Albion,6.80153846153846,20/12/2014,0,2,56.6,31,1,4,16,0,13,1,23,0,1,30,291,434,11,6,6,2,8,0,1,1,0,0,1,0,0,2,0,1,1,0,0,0,1,1
368,829697,0,2,259,Swansea,7.41214285714286,02/12/2014,1,18,59,31,0,7,19,1,13,2,21,0,2,16,438,510,9,5,7,1,8,1,0,6,0,0,1,1,0,0,0,1,1,0,0,0,1,0
369,829697,0,0,171,Queens Park Rangers,6.60416666666667,02/12/2014,0,5,41,17,0,1,5,0,20,1,16,1,1,21,265,370,2,3,1,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
370,829698,0,1,29,West Ham,6.74928571428571,28/12/2014,0,7,57.8,21,1,1,14,2,18,0,34,4,0,26,293,385,7,9,4,1,12,1,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0
371,829698,0,2,13,Arsenal,7.27923076923077,28/12/2014,1,12,42.2,23,1,6,21,2,25,2,26,3,1,34,195,294,8,8,7,1,13,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
372,829699,0,2,30,Tottenham,7.00785714285714,17/01/2015,1,11,64.8,20,1,11,26,1,21,0,16,3,2,15,486,567,6,8,7,3,14,2,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0
373,829699,0,1,16,Sunderland,6.60785714285714,17/01/2015,0,6,35.2,18,0,2,8,0,13,0,15,1,2,16,229,311,6,2,4,1,8,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
374,829700,0,3,18,Southampton,7.56846153846154,20/12/2014,0,2,43.8,18,0,2,11,0,38,0,13,1,1,9,297,373,4,6,3,3,11,0,1,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0
375,829700,0,0,31,Everton,6.32636363636364,20/12/2014,0,16,56.2,36,0,2,13,0,15,2,9,3,3,13,396,481,6,7,4,1,10,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
376,829701,0,0,162,Crystal Palace,6.63615384615385,02/12/2014,0,11,46.2,40,0,6,17,0,15,1,23,3,2,21,225,341,8,6,5,1,16,1,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0
