,match_id,team_id,team_name,team_rating,goals,W/L/T,date,fk_foul_lost,won_contest,possession_percentage,total_throws,att_miss_high_left,blocked_scoring_att,total_scoring_att,att_sv_low_left,total_tackle,att_miss_high_right,aerial_won,att_miss_right,att_sv_low_centre,att_miss_high,aerial_lost,att_sv_low_right,total_pass,won_corners,shot_off_target,ontarget_scoring_att,att_miss_left,att_goal_low_left,total_offside,att_sv_high_centre,accurate_pass,att_goal_high_left,att_goal_low_centre,att_goal_high_centre,att_post_left,post_scoring_att,att_sv_high_left,att_sv_high_right,att_goal_high_right,att_goal_low_right,att_post_right,att_post_high,att_pen_goal,penalty_save
171,1190260,27,Watford,6.711428571,2,L,5/11/17,12,13,62.1,36,1,2,11,,14,,34,,1,1,25,,472,5,6,3,4,2,1,,356,,,,,,,,,,,,,
172,1190261,23,Newcastle United,6.522142857,1,T,1/10/17,11,3,32.2,21,,2,8,2,14,1,17,,1,,20,1,295,1,1,5,,,1,,196,,,,,,,,,1,,,,
173,1190261,26,Liverpool,6.724285714,1,T,1/10/17,6,10,67.8,24,,6,17,,16,1,20,2,1,3,17,,613,5,9,2,3,,2,,515,1,,,,,,,,,,,,
174,1190262,166,Huddersfield,6.941428571,1,W,4/11/17,8,5,50.1,22,,1,7,,20,,19,,1,2,17,1,421,3,3,3,1,,4,,339,,,,,,,,1,,,,,
175,1190262,175,West Bromwich Albion,6.407142857,,L,4/11/17,15,9,49.9,30,,4,9,1,13,,17,1,,,19,2,417,5,2,3,1,,4,,330,,,,,,,,,,,,,
176,1190263,96,Stoke,6.875714286,2,W,30/09/2017,11,4,29.5,21,,10,17,1,14,,29,,1,1,21,2,262,5,1,6,,1,1,,171,,1,,,,,,,,,,,
177,1190263,18,Southampton,6.78,1,L,30/09/2017,10,15,70.5,20,2,6,21,1,14,1,21,2,1,2,29,,620,6,12,3,5,,3,,533,,,1,,,,,,,,,,1
178,1190264,175,West Bromwich Albion,6.847857143,2,T,30/09/2017,12,10,34.9,11,,2,9,,25,,31,1,1,2,27,1,295,7,3,4,,,1,,205,,1,,,,,,,1,,,,
179,1190264,27,Watford,6.818461538,2,T,30/09/2017,11,9,65.1,22,,6,15,,21,,27,4,,2,31,1,552,6,6,3,,1,1,,464,,,,,,,,,1,,,,
180,1190265,29,West Ham,7.062142857,1,W,30/09/2017,15,6,43.2,29,,2,9,,22,,24,1,1,,19,1,375,2,3,4,1,,1,,287,,,1,,1,1,,,,,1,,
181,1190265,259,Swansea,6.455714286,,L,30/09/2017,13,6,56.8,29,1,2,6,,14,,19,1,,1,24,,501,1,3,1,,,,,412,,,,,,,1,,,,,,
182,1190266,211,Brighton,6.835,1,T,15/10/2017,12,9,46.9,18,,6,12,1,18,,25,1,,1,24,,385,7,3,3,1,,5,1,285,,,,,,,,,1,,,,
183,1190266,31,Everton,6.834285714,1,T,15/10/2017,10,12,53.1,22,,2,13,1,20,1,24,3,3,1,25,,451,1,5,6,,1,1,,354,,,,,,1,,,,,,1,
184,1190267,184,Burnley,6.688571429,1,T,14/10/2017,11,9,62.1,21,,7,20,1,12,1,30,3,1,3,25,2,454,7,8,5,,1,2,,356,,,,,1,,,,,1,,,
185,1190267,29,West Ham,6.62,1,T,14/10/2017,14,6,37.9,18,,1,8,,9,,25,,,,30,1,285,4,1,6,1,,1,1,189,,1,,,,2,1,,,,,,
186,1190268,162,Crystal Palace,6.715,2,W,14/10/2017,7,11,43,23,1,3,14,2,23,,5,2,,1,24,,431,5,6,5,2,,1,1,309,,,,,,,1,,1,,,,
187,1190268,15,Chelsea,6.757857143,1,L,14/10/2017,6,13,57,19,,4,15,1,23,1,24,,3,3,5,,559,8,6,5,1,,6,,459,,,,,1,,,,1,,1,,
188,1190269,14,Leicester,6.67,1,T,16/10/2017,13,14,57,35,,4,11,,21,1,19,2,1,1,20,,486,4,4,3,,1,1,1,367,,,,,,,,,,,,,
189,1190269,175,West Bromwich Albion,6.671538462,1,T,16/10/2017,6,7,43,31,,1,5,,15,1,20,,,,19,,378,1,3,1,2,,1,,271,,,,,,,,1,,,,,
190,1190270,26,Liverpool,6.962857143,,T,14/10/2017,7,22,62.2,32,1,6,19,3,17,3,11,,2,2,11,,580,7,8,5,2,,3,,500,,,,,,,,,,,,,
191,1190270,32,Manchester United,6.694285714,,T,14/10/2017,13,10,37.8,23,1,3,6,,21,,11,,1,,11,,354,3,2,1,1,,1,,267,,,,,,,,,,,,,
192,1190271,167,Manchester City,7.589285714,7,W,14/10/2017,5,5,79.3,18,,,20,1,12,,18,2,1,3,7,2,892,5,9,11,4,3,2,,814,1,,1,,,,,,2,,,,
193,1190271,96,Stoke,5.757142857,2,L,14/10/2017,8,6,20.7,13,,1,5,,12,,7,1,,,18,,231,,3,1,2,,1,,152,,,1,,,,,,,,,,
194,1190272,18,Southampton,6.787142857,2,T,15/10/2017,11,12,61.8,24,,4,12,,11,,28,3,,2,18,,583,3,6,2,1,,1,,495,,,,,,,,1,1,,,1,
