,Unnamed: 0,match_id,result,goals,team_id,team_name,team_rating,date,won_corners,att_sv_low_centre,won_contest,total_tackle,aerial_lost,possession_percentage,accurate_pass,total_pass,att_sv_low_right,total_throws,shot_off_target,total_offside,blocked_scoring_att,ontarget_scoring_att,att_miss_high_right,aerial_won,att_miss_high,att_miss_left,total_scoring_att,fk_foul_lost,att_miss_right,att_goal_low_left,att_sv_low_left,att_goal_low_centre,att_miss_high_left,att_sv_high_centre,att_goal_low_right,att_sv_high_right,att_sv_high_left,att_pen_goal,att_goal_high_right,att_goal_high_left,post_scoring_att,att_post_left,att_post_right,att_post_high,att_goal_high_centre,penalty_save
168,168,959613,0,0,13,Arsenal,6.58428571428571,24/01/2016,6,0,19,17,10,46.6,385,466,1,22,7,1,1,1,0,9,1,4,9,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
169,169,959613,3,1,15,Chelsea,7.1084615384615395,24/01/2016,7,1,10,23,9,53.4,472,549,1,19,3,7,3,6,0,10,0,3,12,13,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
170,170,959614,0,2,259,Swansea,6.25928571428571,13/01/2016,8,0,11,11,7,51.2,367,451,0,21,3,2,2,5,0,8,0,1,10,9,1,1,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0
171,171,959614,3,4,16,Sunderland,6.928571428571429,13/01/2016,6,0,6,22,8,48.8,355,430,1,13,3,2,0,4,0,7,0,1,7,12,1,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0
172,172,959615,1,1,24,Aston Villa,6.87846153846154,26/12/2015,9,2,9,18,22,59.1,354,431,0,28,5,3,2,8,0,25,3,1,15,14,1,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
173,173,959615,1,1,29,West Ham,6.838571428571429,26/12/2015,6,1,9,21,25,40.9,222,309,1,23,4,1,2,4,1,22,1,1,10,13,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
174,174,959616,1,1,259,Swansea,6.791428571428571,06/02/2016,9,1,6,26,27,58.5,373,465,1,34,8,1,7,3,0,22,2,4,18,11,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
175,175,959616,1,1,162,Crystal Palace,6.90142857142857,06/02/2016,5,0,10,22,22,41.5,241,336,1,20,6,0,4,2,2,27,1,1,12,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
176,176,959617,0,0,168,Norwich,6.06307692307692,02/02/2016,6,1,2,17,13,45.8,255,355,0,31,6,5,2,3,1,20,2,2,11,8,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
177,177,959617,3,3,30,Tottenham,7.342142857142861,02/02/2016,8,3,3,24,20,54.2,319,426,0,23,9,0,2,6,1,13,0,1,17,9,3,1,0,1,1,0,1,0,0,1,0,0,3,3,0,0,0,0
178,178,959618,0,0,15,Chelsea,6.895,05/12/2015,11,1,19,21,11,62.9,445,524,2,24,9,2,4,6,0,11,2,5,19,10,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
179,179,959618,3,1,183,Bournemouth,7.38916666666667,05/12/2015,4,0,16,19,11,37.1,237,323,4,22,4,1,6,5,1,11,1,1,15,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
180,180,959619,0,2,175,West Bromwich Albion,6.852142857142861,31/10/2015,6,1,16,12,23,47.7,236,330,1,38,5,2,3,6,0,28,1,1,14,3,2,0,0,0,1,0,1,0,2,1,0,1,0,0,0,0,0,0
181,181,959619,3,3,14,Leicester,6.8985714285714295,31/10/2015,4,1,2,25,28,52.3,258,370,0,21,3,1,5,5,0,23,0,1,13,11,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
182,182,959620,3,4,31,Everton,7.54928571428571,21/11/2015,2,4,13,23,5,59.9,535,608,0,16,4,1,3,9,1,6,1,1,16,6,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
183,183,959620,0,0,24,Aston Villa,6.211428571428571,21/11/2015,3,1,8,18,6,40.1,337,403,1,21,3,4,4,3,0,5,1,1,10,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,184,959621,3,2,14,Leicester,7.11571428571428,14/12/2015,1,1,15,26,23,34.4,164,275,1,26,3,0,1,5,1,20,0,1,9,16,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
185,185,959621,0,1,15,Chelsea,6.70571428571428,14/12/2015,8,1,11,14,20,65.6,420,522,1,41,3,2,4,4,0,23,0,2,11,8,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
186,186,959622,0,0,16,Sunderland,6.59,30/12/2015,6,2,9,13,22,42.3,216,326,0,37,3,1,2,3,0,24,0,0,8,8,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
187,187,959622,3,1,26,Liverpool,6.965,30/12/2015,4,1,8,16,24,57.7,337,465,0,32,7,0,4,6,1,22,3,2,17,16,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
188,188,959623,0,1,162,Crystal Palace,6.6207692307692305,23/01/2016,3,0,7,22,19,36.1,193,290,0,25,3,0,5,3,0,15,2,0,11,11,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
189,189,959623,3,3,30,Tottenham,7.287857142857139,23/01/2016,10,4,15,17,15,63.9,436,533,2,29,6,2,7,11,1,19,1,2,24,12,2,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
190,190,959624,1,3,26,Liverpool,6.92928571428571,13/01/2016,9,1,11,21,14,59.5,423,535,1,32,6,4,10,6,2,17,1,0,22,9,2,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0
191,191,959624,1,3,13,Arsenal,6.86071428571429,13/01/2016,3,2,6,20,17,40.5,271,378,0,10,5,5,4,5,0,14,0,2,14,7,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
192,192,959625,1,0,183,Bournemouth,7.08071428571429,26/12/2015,8,1,14,26,18,55.2,366,464,1,24,4,2,2,4,0,18,1,2,10,10,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
193,193,959625,1,0,162,Crystal Palace,6.871428571428571,26/12/2015,9,0,10,18,18,44.8,263,369,0,22,4,1,3,1,0,18,1,2,8,13,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
194,194,959626,3,1,30,Tottenham,7.122857142857139,06/02/2016,15,3,17,14,14,65.9,454,555,3,22,9,2,8,8,2,11,1,2,25,12,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
195,195,959626,0,0,27,Watford,6.82071428571429,06/02/2016,1,0,8,23,11,34.1,191,297,0,32,2,3,1,0,1,14,1,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,196,959627,0,0,16,Sunderland,6.6464285714285705,02/02/2016,8,0,15,33,19,49.6,291,411,1,26,5,4,3,3,0,14,3,1,11,6,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
197,197,959627,3,1,167,Manchester City,7.117857142857139,02/02/2016,4,1,19,21,14,50.4,323,431,0,20,3,2,2,2,0,19,1,0,7,15,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
198,198,959628,1,1,31,Everton,7.055,07/12/2015,13,2,14,24,14,62.0,439,526,0,18,8,0,7,4,1,5,0,2,19,4,3,0,0,1,0,1,0,0,0,0,0,0,2,1,0,1,0,0
