,match_id,team_id,W,L,T,team_name,team_rating,date,won_corners,att_sv_low_centre,won_contest,total_tackle,aerial_lost,possession_percentage,accurate_pass,total_pass,total_throws,shot_off_target,total_offside,blocked_scoring_att,ontarget_scoring_att,aerial_won,att_miss_left,total_scoring_att,fk_foul_lost,att_miss_right,att_goal_low_left,att_goal_low_right,att_sv_low_left,goals,att_pen_goal,att_sv_high_centre,att_goal_low_centre,att_miss_high,att_post_left,post_scoring_att,att_miss_high_right,att_sv_high_right,att_sv_low_right,att_sv_high_left,att_miss_high_left,att_goal_high_right,att_goal_high_left,att_post_right,att_goal_high_centre,penalty_save,att_post_high
174,1190179,32,0,0,0,Manchester United,7.677857142857139,13/08/2017,11.0,1.0,23,14,13,55.4,417,493,21,8.0,1.0,8.0,5.0,23,2.0,21.0,19,1.0,0.0,3.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
175,1190179,29,0,0,0,West Ham,6.077857142857139,13/08/2017,1.0,0.0,3,21,23,44.6,316,397,13,6.0,4.0,2.0,1.0,13,1.0,9.0,7,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
176,1190186,166,0,0,0,Huddersfield,7.05071428571429,20/08/2017,7.0,0.0,5,24,12,52.7,353,456,23,3.0,4.0,1.0,3.0,24,1.0,7.0,13,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
177,1190186,23,0,0,0,Newcastle United,6.421428571428571,20/08/2017,3.0,1.0,9,18,24,47.3,296,415,29,3.0,5.0,5.0,5.0,12,0.0,13.0,10,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
178,1190192,162,0,0,0,Crystal Palace,6.507692307692309,16/09/2017,5.0,3.0,10,15,20,45.6,311,410,17,9.0,0.0,2.0,3.0,20,5.0,14.0,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
179,1190192,18,0,0,0,Southampton,6.988571428571429,16/09/2017,5.0,0.0,8,15,20,54.4,404,503,17,4.0,1.0,5.0,4.0,20,2.0,13.0,13,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
180,1190233,259,0,0,0,Swansea,6.5657142857142805,21/10/2017,7.0,1.0,5,17,20,55.8,379,463,31,8.0,0.0,7.0,4.0,18,2.0,19.0,6,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
181,1190233,14,0,0,0,Leicester,7.072307692307691,21/10/2017,6.0,1.0,13,23,18,44.2,276,381,22,3.0,3.0,2.0,6.0,20,1.0,11.0,9,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,1190541,167,0,0,0,Manchester City,7.54428571428571,23/12/2017,4.0,0.0,9,19,10,78.8,825,901,21,5.0,4.0,4.0,5.0,13,0.0,14.0,8,1.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
183,1190541,183,0,0,0,Bournemouth,6.008571428571429,23/12/2017,6.0,1.0,7,10,13,21.2,163,232,14,2.0,2.0,2.0,1.0,10,1.0,5.0,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,1190227,96,0,0,0,Stoke,6.94307692307692,09/09/2017,5.0,0.0,9,19,16,36.8,252,332,13,4.0,1.0,1.0,5.0,13,3.0,10.0,10,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
185,1190227,32,0,0,0,Manchester United,6.747857142857139,09/09/2017,11.0,4.0,10,9,13,63.2,490,564,24,5.0,4.0,5.0,8.0,16,1.0,18.0,10,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
186,1190540,15,0,0,0,Chelsea,7.286428571428571,21/10/2017,6.0,1.0,13,22,16,52.5,377,462,11,5.0,6.0,1.0,8.0,24,1.0,14.0,13,2.0,2.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
187,1190540,27,0,0,0,Watford,6.437142857142861,21/10/2017,6.0,2.0,5,17,24,47.5,324,406,22,6.0,3.0,5.0,5.0,16,2.0,16.0,16,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
188,1190226,166,0,0,0,Huddersfield,6.882857142857139,21/10/2017,4.0,1.0,11,27,15,22.1,116,210,13,0.0,2.0,2.0,3.0,15,0.0,5.0,10,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
